message,cyberbullying
sana noluyo lann apacinin avukati misin,1
evet normal karakter sahibi insanda bu video intihar sebebifdir lakin bunlar karatersiz orospu çocukları,1
doğa ranta kurban olmasın ,0
umarım bir gün sizin çocuklarız da demokrasi aşkı ile yanarlar,0
kim bu gerizeka kuzeniniz,1
erkeğe uzayda kadın var demişler uzay aracı icat etmiş uçmuş,0
tayyip dedee diye seslenen bir çocuk ve efendim diyen dünyanın en tatlı dedesi,0
bi gavur karısı aldım güzel çalışıyo,1
araba kullanma hakkı verdio sırada italyalı astronot bayan samantha cristoforetti uzayda,0
harbi gerizeka ya tam embesil,1
hâla arkamdan laf yapıyor her gerzek beyinli hiçbiri karşıma çıkacak kadar erkek değil,1
murat çok tatlısın ahahahahaha,0
sıkılınca en sevdiğim parçaların olduğu müzik listemi bile siliyorum seni mi unutamıycam,0
ulan dalyarak sen içerde değilmiydin  ne biçim adalet var arkadaş bu ülkede bu piç hapis cezası almadımı,1
senden bi bok olmaz,1
her gün ölüyor o pislik ,1
orospu çocuklari siz orospu çocuğusunuz hayvanlar,1
gerizeka tudor,1
şevket çoruh ile özge turna evleniyor,0
hahahah orospu çocuğu ya götünden kan alacaklar şimdi,1
sanane lan adam çekmiş koymuş beğenmiyosan izleme tırrek,1
türkiye’nin en kapsamlı öğrenci olimpiyatı olma özelliği taşıyan güngören bilim kültür sanat ve spor ligi,0
esin iyi misin lan şerefiz,1
ulan ilk yarı 20 geridesin ikinci yarı değişiklik yapmıyorsun yav çıldıracam yav senden hoca moca olmaz ananı bacını,1
önce yürümeyi öğrensin puşt,1
kerhane çocuğu cevap versene,1
zaten alihan da sürekli öyle davrandığı için zeynebe tutuldu,0
bayadır her şey yolunda mertle mutluyum  babamla tartışmıyoruz  okul güzel,0
bizim türk insanı kadar futbol fakiri beyinsiz başka millet yokturtudor sıfırdan takım yaptı liderhala balon fatih terim isteniyor yazık,1
nil in babası sinan a serefiz dedi bak amca diyom beni deli etme ağzını yüzünü dağıtırım,1
hafif domal da sokarım amına götüne yaragımı,1
azgın kız pelin,1
ne olduğun belli neyini anlamayacam andaval,1
danla bilic e tavuk diyen amca,0
herkesi kör âlemi sersem sanıyor sığırlar,1
yarın makyaj yapayım da farkı görün siz djdnjshj,0
endeavor dünyasında güzel gelişmeler devam ediyor girisimcilere tebrikler destekcilerimize teşekkürler  ,0
defol hain bücür,1
hastasını mağdur etmemek öğrencisini hayallerinden mahrum etmemek hocalarını özel hastanelere bırakmamak ülkeyi bilimsiz,0
ebeni siktir bana akşam akşam,1
orospu çocukları yine geldikleri gibi gitmişler,1
dileriz tez vakitte israil e de demokrasi gelsin,0
çocuğunuzu seviyorsanız ona bir kitap alın eğer çok seviyorsanız iki kitap alın,0
yüksek lisansda başarılı olduğumu söyleyemem ama yüksek lisansı bitireceğime yürekten inanıyorum,0
sındırgı kadın kolları kongremizde tekrar seçilerek başkanlık görevine devam eden nagihan eroğlu ve yönetimini tebrik ediyor,0
şu an bannerımdaki söz çok özel bence ve ait olduğu şarkı da the 1975  paris,0
senin şu saatten sonra yapabileceğin tek şey kudurmak yelloz seni,1
izmirkuşlaramezarolmasın gediz deltası 3sayfa haberlerinde yer almasin,0
lavuk kızı öyle bi yiyo ki dönüp baktı ketçap mayonez isticek sandım aq,1
bacak kadar boyun var türlü türlü huyun var seni gidi dili fitne fücur birazda bücür,1
nerde sikik bi is var beni buluyo mk,1
arka masadaki eleman siktir git burnunu sil fırk fırk çekip benim sinirimi bozma o burnuna sokarım şu elimdeki fincanı,1
siz demiyor musunuz saray gibi otel gibi özel hastaneler var ama hiç biri cerrahpaşa değilbizim binalarımız eski olabilir,0
ne yapiyim amina qoyum dizmi cokuyum karsinizda,1
her kesimin iyi tanıdığı perinçek in  bu kadar çok konuşması sistemin kimlerle ittifak ettiğinin örneğidir,0
işsiz olup tek yaptığı dm den kızlara yürüyen yavşak tipli andaval olmaktansa  sağlıklı kültürlü zeki ve oturaklı olurum,1
bir güzel kız yüzünden çıldıracağımm,0
salak ezik  sen tam bir ağlaksın,1
trt1 e bak beni bloklamış benim vergimle beni blokluyor orospu çocukları,1
habertürk’te idris adında baş parmağını  sallayarak çıldırmış bir dallama var,1
orospu catelyn,1
bademli çikolata yerken fındık tadı almış gibi bir gün,0
 senin aq pezevenk profilim senin yüzünden genel ev gibi oldu,1
sinirlenince ki ben çok sinirli bir insanım bts i izleyince sinirerimi aldırmış gibi hissediyorum çikolata gibiler,0
çektirdiğim fotoğraf erkek gibiymiş dönek olup kırma olacağıma sözümün eri delikanlı gibi kız olurum daha iyi,1
lanet mi okusam sana,1
 üşenmeden saydım arkadaşlar  bi takipcim gün içinde 20 den fazla twit atmış sanki götürü almış mübarek,0
kendi karga burnuna bakıp sonra millete bok at istersen aptal bücür,1
kız fena yım azdım bak kötü sikerim,1
kıyamam sana amk  kızı,1
yaa senn var ya harikasın,0
amk admin kılıklısı,1
konyanın da pek farklı olduğu söylenemez bence ilkbahar ikizler burcu,0
off taş gibi gögüsleri var yollu bu fahişe,1
türk duygularını kabartacak her türden dizi film belgesel vb izleyen herkes vasat değildir,0
öküz gibi sismissin ne evirilir ne çevirilir nede bu siskoluk heryerin sarkiklikla sıkılırsın,1
tavuk neden güveçte olmuyormuş onu anlamadım ne alaka niye olmasın,0
oh harika ben de karşıyaka’dan alsancak’a geçiyorum çok mutluyum hiç dönesim yok istanbul’a,0
nasılsın kardeşim sesin çıkmıyor hiç,0
1 haftadır ders dinleyemez ders çalışamaz olduk nitelik çok yükseliyor sanırım,0
sabahtan gördüm seni çok aşifte geldin bana,1
ana babayaakrabayayetimlere yoksullara yolcuyaelinizin altındakilere iyilik edinnisa 36,0
cerrahpasadurusu hastasıyla esnafıyla öğretim görevlisiyle öğrencisiyle personeliyle kırmadan yıkmadan parçalamadan büyüyor,0
ulan pezevenk ücretini de tl al o zaman yerli arabaya bin yerli telefon kullan,1
çok az makyaj yapma isteğim fırçayı elime alana kadar geçerli,0
fen okuryazarlığı ve yaşamdaki kimya ,0
chp genel başkanı ankara’dan istanbul’a başlattığı 25 gün süren ‘adalet yürüyüşü’,0
takimi her mac farkli fantaziler kurup rakibi bir kez izlemeyen bir sizofrene emanet ettiginizin ne zaman farkina varcaklar,1
sen de bir malsın gerzek,1
hocam football manager için de biz çözüm bulalım,0
ne istediğini bilen insanlara özeniyorum ya ben seçimlerimde düğün öncesi alışverişe çıkarılmış huysuz muhafazakar gelin gibiyim sıfır karar,0
bayılıyorsunuz sizi zerre ilgilendirmeyen konulara karışmaya hep konuşmak kaos çıkarmak insanlara karışmak,0
lan at kafali dün statta kim vardi çarşi yokmuydu,1
ilk önce nasıl yazılacağını öğren sonra çağır fenerli değilmi hepsi keko,1
un tasirken mi jeep ile mi senin o ufak beyninle yapmaya calistigin algiyi sikim sisko domuz,1
orta okul arkadaşımı buldum çok mutluyum,0
sema yemin ediyorum ne hallere düştük oturduğumuz yerden sakatlanıyoruz,0
insan yaşadığı her anı her duyğuyu tecrübeye çevirirse başarılı olur,0
içinde sen varsın,0
şu iki hırbo bilsin diye kolay şeyler sordular aq,1
sinirlenince bile güzelsin be sultanım,0
küçük hanımlar küçük beyler sizler hepiniz geleceğin bir gülü yıldızı ikbal ışığısınız yurdu asıl aydınlığa boğacak olanlarsınız,0
sizi çok seven bir kadını kendinizden nasıl nefret eder hale getirirsiniz,0
 beyaz tv gibi bir kanaldan etik değerler yüzünden kovulmak büyük başarı istertebrikler,0
danla keşke saçlarını her zamanki gibi dalgalı yapıp zarif bir kalem elbise gitseydin,0
sosyetenin cilalı mermer taşlarında büyüdün sanki amcık,1
bebeyim şimdi sen bana gerizeka olduğunu söyle bende şaşırmış gibi yapıyım hadi,1
yahu 10 yaşında çocuk gözünde mavi kemik gözlük saçlar yanları böyle kısa üstler uzun atmış arkaya ucunu sarıya boya,0
en büyük sorun sensin bi siktir hit,1
bizlerden gerek iş hayatında gerek sosyal hayatta desteğini hiçbir zaman esirgemeyen bize ekip ruhunu ve ekip çalışmasını öğrettin,0
algı yapıyor dümbük takılmayın fazla gidecekler rahat olun,1
doğum günün kutlu olsun güzel arkadaşım,0
korkudan nasılda silmiş tweeti ibne,1
az önce önümüzden bi adam masturbasyon yaparak geçti ama bu saatte dışarda ne işimiz var değil mi,1
naber lan tırrek yaşattığını yaşamadın mı daha,1
ben bu admini çok sevdim çok tatlı ya,0
samsunlu aşifteyüreğin varsa gizli numaradan değilkendi numarandan ararsinemniyeti boşuna meşgul etmeyelim,1
sg pislik mxkmdmxmxm,1
bronshit ve yatalak oluşumdan 2 kitap bitirdim hasta olmasam okumayı unutacaktım ne de olsa sosyal medyanın köpeğiyiz,0
survivor2018 hilmim yaa bu kadar tatlı olma,0
orospu çocuğu yemediniz ben napiyim,1
survivor2018 survivor da gönüllülerin en iyisi kim büyük anket,0
her hale şükür gerek,0
hayırlı geceler,0
uzun boy şık giyim demişsin isteklerinin kalitesi  — etrafa alıcı gözle baksamda aşifte kızlar kapıyo,1
doğduğunda kulağına 3 defa kahpe diye mi fısıldadılar,1
transkripti görelim bakalım var mıymış öyle bir ders,0
tudordefol kahpe tudor istifa,1
beni sersem ediyor bunca acı,0
kendimi zorlayarak bir mekana geldim yine salak tiplere bakarak gülüyorum eğleniyorum ama müzik ile alakası yok,0
ben öğretmenlikten vuruldum diyor sonra da ben öğretmenim diye cümleye başlayıp acıtasyon yapıyor,0
allah allah nerenin adetiymiş bu yav abazza mı bu anadolular niye hanımlara yanlıyo,1
bana masturbasyon yaparak vido atarmisin,1
tam bir orospu çocuğusun onu anlamadiktan sonra niye dinliyorsunki geber amq,1
biz çok güçlü karar mekanizmasına sahip birer bilgisayar gibiyiz beynimiz düşüncelerimizden komutlar alıyor,0
kariniza sevgilinize makyaj yaptirmiyorsunuz sonra full makyaj süslü püslü kadınlarla aldatiyorsunuz valla ben bir,0
hepinizden nefret ediyorum paçavraucubeaşifteşerefsizin önde gidenleri fotoğrafı,1
yarışmacı ülkelerden oylama,0
ne fenası aşifte olacaksın,1
bu defa görüş sonrası sizlerle önemli şeyler paylaşcam,0
ayrıca unvanı üniversitelerin vermesi halinde üak ta başarılı bulunan adaylar doçent kadrosu buluncaya kadar unvanın verdi,0
tudoristifa buraya kadarmış beyinsiz tudor artık siktir olup gidebilirsin,1
hemen simdi tudor denen orsu evladini kovmayan yönetimin amq bize oturup kahpe kari gibi sakiz çiğneyen teknik adam lazim degil,1
elif yokluğumu fırsat bilen ibne geldiğim zaman ağzına özel olarak sıçacağım,1
profesör gibi poz verin dedi ve sonuç geleceğin öğretmenlerine merhaba deyin,0
yine bir andaval turnikeden geçmeyi beceremediği için tramvayı kaçırdık hem de 5 saniyeyle falan gel de bu ülkede yaşa,1
kendine yakışır şekilde hakkıyla ses çıkaran bir duruştur,0
yalan uydurmak iftira atmak kendi yaptığı arzızlığı karşı taraf yapmış gibi göstermek bu alçak zihniyetin yol haritasıdır,1
bu erkeklerin çok büyük çoğunluğu instagramdan dm atıp tanışıp takılacaklarını sanacak kadar ultra gerizeka ve mal zavallılar,1
abi bu aleksi bi foto sahnesinde bi de nezarette umumhane dedialeksi senin ben ağzına sne kadın düşkünü çıktın,1
gerizeka insanlar acayip mutlu aq imreniyorum,1
bi duruşu var,0
şişko yanaklarımı yoketme hilesi neydi acil biri söylesiin,0
fizikçi geldi işte fenerliler yine iyiler falan dedi aziz yıldırım geliyormuş falan  abi azizi yıldırım ne ya,0
seni bize veren allaha şükür sonra doğuran o güzel annene dua ediyorum iyi ki varsın,0
hanımcı pezevenk,1
içine girmiş karının pislik,1
şu müzik eşliğinde ulaşı bekliyorum,0
hshshshddhdh gerizeka yaa,1
anani sikerim goskel sampiyon olamayacaksin oruspu cocugu simarik kahpe cocugu,1
ben seni seviyorum,0
puşt deyince aklına kim geldi sizce,1
takipçilerimin 90ı erkek profil köy kıraathanesine döndü biraz sanat sepet falan filan paylaşımı yapacağım artık,0
ben kitap okurum deli derler bu saatmi okumanın saati yoklakin en akla giren saatler neden şarkılarşiirler gece yazılmış,0
kes lan konsomatris suratlı,1
elli bin kadın ve çocuk fenerbahçe taraftarına en güzel gollerinden birini armağan ediyor,0
pazar çok kızışmış biz pılımızı pırtımızı toplayıp gidelim en iyisi,1
bundan sana ne  tasası sanamı düştü dalyaprak  zirzop,1
hay allah senin çenesini kapatsın artık ya bu kadar angut bir adam olamaz,1
size spine breaker şarkı sözlerini bırakıyorum,0
dördüncü gün kanka sevgili yaptım kendime,0
ulen 2 dakika da döndünüz eskiden katil dediğiniz şimdi kurtariciniz bu kadar dönek olmayın,1
kalk siktir git okulunu oku amk,1
çok sıcak ve bu makyaj 10 dakika sonra akacak,0
günaydın seksi karımın potansiyel sikicileri hayattan zevk almasını bilen benim gibi gavat ruhlular,1
bir kere kuzenimin düğününde alçak bir kuaförün eline düşmüştüm bana makyaj yaptı sonra düğün yerine gittik dedemin elin,0
konuşuyosun tabi gerzek eey almanya ne hadi utancından yerin dibine gir daha da çıkma,1
allah belanı versin mertcan senin ve senin gibilerin hepiniz yokolun inşallah,1
80 ‘den 13 tl’ye inen bir pantalon  aldım çok mutluyum,0
yüzümde sıfır makyaj ve uykulu gözlerherşeye rağmen paylaşılmaya değer bir fotoğraf,0
takımı liderken kovulan ilk gerizeka olmak üzere,1
sizdeki kürt düşmanlığı kadar yoktur embesil hamam böcekleri,1
ahlaklı hayırlısı olsun herkes için,0
insanlık istese neler başarır mirim felsefesiyle olmazları oldurtan 10 film,0
bunlar ile yanyana gelen bu dediklerini yapamaz ayyaş ile oturan ayyaş kalkar,1
mustafa bu çocukların başına ne geldiyse senin suçun ne cenabet bir adamsın ya hala rivrivriv sana fikrini sorduk mu,1
şu herkes yapıyo ben yapınca nolmu cümlesini söyleyen her kim var ise gözümde direkt aptal orospu çocuğunun teki oluyo ya,1
birsen  bugün de dün de ve yarında survivorda olması gerektiğini her gün bir kez daha ispat ediyor,0
az önce porto maçına bilet geldi aşırı mutluyum lan,0
gardaşim dün habertürk te bu proğramı izledim şerefiz aytuğ şerefsizliğin kitabını yadıproğramda,1
kendinizi bir bok zannediyorsunuz ve bu benim canımı sıkıyor,1
istanbul büyükşehir belediye meclisinde konsolide 426 milyar tl büyükşehir bütçesini görüşerek kabul ettik,0
öyle mi kevaşe ne üzerinden yorum yapalım kıçındaki donun lastiği bile dolarla alınıyor büyükbaş,1
ne yalaka  çıktınız amk gelmeyin amk,1
cüce kız tesellisi ya parayla mı yazdırdınız,1
gayri resmi mektup iyi tanıdığımız insanlara,0
parayı aldin mi ilhan dan selimtl olarak alsaydin şikeci pezevenk seni,1
amerikademokrasi vaadiyle vietnam ı işgaletti35 milyon ölümilyonlarca sakata rağmen savaşı vietnam halkı kazandı,0
kim bu gerzek bu gerzek ile ne konuşuyorsunuz bu alçak ırkçı faşist ve aynı zamanda kışkırtıcı,1
ulan çok iyi olmuş,0
buna makyaj diyen maasli trollere anlatayim bir insan alnina darbe aldiginda once alni siser morarir,0
ya lanet olsun ben online oyun oynarken youtube veya instada video izlemeyin ping atıyo aq,1
kendini vazgeçilmez sananların hiçbiri şuan hayatımda değil ve gayet mutluyum,0
gelin adayı var baban hayrına düğün masraflarına ortakçı oluyor mı sorsana,0
yalaka orospu ultraslan hala tudor un yanındaysanız sizinde allah belanızı versin sucuk ekmekçi pezevenk,1
senden öğrendiğim tüm değerler için binlerce teşekkür ederim canım annem,0
tarihimizin en pahalı kadrolarından birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor en kısa süre,1
haltercilerinki kadar tipsiz bi vücut görmedim cüce gibi aynı,1
çok heyecanlı bakmıyor mu bir de bildiğin ibrik suratlı lavuk ya,1
merve gibi şirret ve burcu gibi yılan olmalıyız djsbnsndksb,1
daha ilk bölümün ilk dakikalarında uyarmıştım ben ,0
hüzün alabildiğine hüzün gece de,0
bazen sadece telefon almak için paran vardır,0
100 yil sonra mesaj atma sikerim belani,1
hayatımın en uzun dönemi artık bitsin istiyorum gerçekten dayanacak gücüm kalmadı,0
yarın iki sınavım var ama ben ders çalışacak gücü bulamadım,0
sen domal böyle ben sikerim cnm,1
senin beynin angarya tirrek,1
cerrahpaşaduruşu başı dik onurlu ve saygılı bir duruştur ayrılmak istemiyoruz,0
ulan o kadar lüks evde oturuyorsun birde tikisin  gidip koluna casio  mu takiyon   herşeyiniz  kurmaca be size,0
seninde amk ben kahpe evlatlari ingiliz piçleri soysuz pezevenk cennemde yansı it soyu,1
böyle devam et adamsın,0
